COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
22017,Buen Suceso N°03,BS-0209,MANUAL,CG02-163,Si,TRINEXAPAC ,82.18489117,12.77607094,55,10.97961867,0,Ene,141.48
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,126.98
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,63,11.30834977,11,Ene,142.09
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,63,11.30834977,11,Ene,133.44
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,134.34
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,133.03
22017,Buen Suceso N°03,BS-0209,MANUAL,CG02-163,Si,TRINEXAPAC ,82.18489117,12.77607094,55,10.97961867,0,Ene,142.2
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,155.15
57059,El Apante,BORB-05,MECANIZADA,CP89-2143,No,NO APLICADO,45.44817276,0,0,11.078238,0,Ene,153.83
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,139.16
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,63,11.30834977,11,Ene,137.64
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,63,11.30834977,11,Ene,143.11
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,143.51
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,63,11.30834977,11,Ene,133.39
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,129.86
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,93,12.91913215,67,Ene,137.09
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,141.65
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,131.81
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,145.42
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,140.02
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.11111111,0,Ene,133.71
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,122.51
