CICLO,ZONA,CF,FINCA,COD CAM,CAMPO,HA,VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
2122,3,72,La Chinampa,72015,CH-15, 5.13 , CP72-2086 ,3.00, 2.20 , Franco , Goteo ,29%,39.00,103.09,10.06,29.00,85.54,90.00,91.59
2122,3,72,La Chinampa,72016,CH-16, 10.71 , CP08-2256 ,4.00, 2.20 , Franco , Goteo ,29%,32.00,133.22,11.80,29.00,142.62,120.00,124.75
2122,3,72,La Chinampa,72017,CH-17, 3.51 , CP72-2086 ,5.00, 2.20 , Franco , Goteo ,55%,38.00,113.32,11.93,28.00,157.23,110.00,116.48
2122,3,72,La Chinampa,72018,CH-18, 9.40 , CP72-2086 ,3.00, 2.20 , Franco , Goteo ,38%,37.00,150.10,10.03,28.00,127.17,110.00,114.82
2122,3,72,La Chinampa,72020,CH-20, 3.82 , CP72-2086 ,5.00, 1.90 , Franco , Goteo ,26%,25.00,150.10,10.95,37.00,125.98,120.00,113.51
2122,3,86,La Concha,86002,CONCHA-02, 12.04 , CP72-2086 ,3.00, 1.60 , Franco , Mini Aspersion ,26%,45.00,126.93,10.59,30.00,93.78,110.00,93.92
2122,3,39,San Antonio Nandayosi,39001,SA-0101, 49.46 , CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,48.00,122.45,10.59,36.00,96.11,110.00,82.05
2122,3,39,San Antonio Nandayosi,39011,SA-0111, 33.07 , CP89-2143 ,4.00, 2.20 , Franco Arcilloso , Goteo ,41%,44.00,150.14,10.59,38.00,113.32,122.00,90.47
2122,3,39,San Antonio Nandayosi,39021,SA-0121, 16.41 , CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,44%,47.00,141.73,10.55,38.00,79.09,114.00,71.35
2122,3,43,San Francisco Palo Alto,43001,SFPA-01, 24.58 , CP88-1165 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,56.00,139.05,10.62,41.00,112.73,107.00,78.97
2122,3,43,San Francisco Palo Alto,43005,SFPA-03A, 4.09 , NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,43%,65.00,150.06,10.62,41.00,105.81,110.00,80.83
2122,3,43,San Francisco Palo Alto,43004,SFPA-04, 9.37 , NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,34%,48.00,150.13,10.62,40.00,84.58,128.00,100.73
2122,3,85,Santa Isabel,85001,STA I-01, 24.61 , CP88-1165 ,2.00, 2.20 , Franco , Goteo ,28%,48.00,121.90,13.41,29.00,74.19,100.00,89.27
2122,3,81,Tono Lira,81001,CALA-01, 9.81 , CP88-1165 ,4.00, 2.20 , Franco Arenoso , Goteo ,34%,38.00,172.66,11.47,42.00,107.19,133.00,75.32
2122,3,81,Tono Lira,81002,CALA-02, 4.65 , RB86-7515 ,4.00, 2.20 , Franco Arenoso , Goteo ,50%,52.00,170.04,11.47,43.00,125.04,140.00,116.01
2122,3,81,Tono Lira,81003,CALA-03, 6.62 , CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,41%,44.00,172.66,11.47,43.00,118.67,132.00,92.43
2122,3,60,Vasconia,60016,ANIMAS-06A, 13.28 , NA56-42 ,4.00, 2.20 , Arcilloso , Goteo ,30%,40.00,112.79,10.95,30.00,93.83,95.00,64.55
2122,3,60,Vasconia,60003,GTE-03, 14.09 , CP72-2086 ,3.00, 2.20 , Franco , Goteo ,50%,45.00,150.14,10.95,23.00,72.63,75.00,72.21
2122,3,60,Vasconia,60018,MOJON-01, 8.14 , CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,49%,71.00,103.07,10.68,23.00,75.80,90.00,89.58
2122,3,60,Vasconia,60022,PRESA SEC-02, 20.02 , CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,40%,38.00,103.09,11.34,20.00,86.45,85.00,69.13
2122,3,60,Vasconia,60036,SARZAL-01, 10.76 , CP72-2086 ,5.00, 1.90 , Franco , Goteo ,41%,35.00,128.81,11.77,34.00,94.50,110.00,85.13
2122,3,60,Vasconia,60040,SARZAL-04, 4.70 , RB86-7515 ,5.00, 2.40 , Franco Arcilloso , Goteo ,42%,54.00,103.04,10.91,33.00,62.27,70.00,46.75
2122,3,60,Vasconia,60028,SITIO-02, 18.57 , CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,47%,39.00,86.87,11.05,13.00,79.88,78.00,65.27
2122,3,60,Vasconia,60029,SITIO-03, 17.95 , CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,22%,39.00,103.13,11.47,17.00,85.53,85.00,71.08
2122,3,60,Vasconia,60030,SITIO-04, 9.76 , CP88-1165 ,5.00, 2.40 , Franco Arcilloso , Goteo ,47%,36.00,103.06,11.01,9.00,85.50,75.00,68.04
2122,3,60,Vasconia,60031,SITIO-05, 18.81 , CP89-2143 ,3.00, 2.20 , Franco , Goteo ,24%,42.00,150.08,10.88,6.00,115.85,112.00,108.54
2122,3,60,Vasconia,60033,SITIO-07, 6.06 , CP72-2086 ,6.00, 1.90 , Franco Arcillo Arenoso , Goteo ,42%,42.00,206.15,10.91,4.00,96.20,85.00,102.75
2122,3,60,Vasconia,60034,SITIO-08, 7.49 , CP00-1101 ,6.00, 2.20 , Franco Arcillo Arenoso , Goteo ,46%,37.00,150.09,11.54,4.00,109.75,122.00,116.12
2122,3,61,Waterloo,61026,PLAT-01A, 0.96 , CP72-2086 ,3.00, 2.20 , Franco Arcilloso , Goteo ,39%,18.00,113.49,12.72,22.00,72.01,110.00,62.34
2122,3,61,Waterloo,61027,PLAT-02, 4.23 , NA56-42 ,4.00, 2.20 , Franco Arcilloso , Goteo ,30%,28.00,132.54,11.37,36.00,91.55,114.00,83.51
2122,3,61,Waterloo,61028,PLAT-03, 4.00 , CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,27%,22.00,139.85,11.51,36.00,115.92,125.00,98.51
2122,3,61,Waterloo,61032,PLAT-07, 3.91 , CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,31%,36.00,129.53,11.47,36.00,127.33,100.00,96.47
2122,3,61,Waterloo,61033,PLAT-08, 3.68 , RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,52%,35.00,138.08,8.55,15.00,77.04,80.00,60.56
2122,3,61,Waterloo,61001,PRESA-01, 16.18 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,39%,44.00,92.69,11.28,17.00,118.26,95.00,69.92
2122,3,61,Waterloo,61005,PRESA-05, 19.88 , CP00-1101 ,5.00, 2.20 , Franco Arcilloso , Goteo ,35%,52.00,103.09,11.47,37.00,79.06,95.00,65.94
2122,3,61,Waterloo,61013,PRESA-13, 6.57 , CG02-163 ,2.00, 2.20 , Franco , Goteo ,13%,37.00,102.94,11.21,17.00,70.86,91.00,71.56
2122,3,61,Waterloo,61015,PRESA-15, 3.62 , RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,39%,41.00,115.01,8.55,15.00,67.65,80.00,76.56
2122,3,61,Waterloo,61016,PRESA-16, 3.91 , RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,14%,37.00,102.90,11.37,22.00,99.24,90.00,60.56
2122,3,61,Waterloo,61017,PRESA-17, 3.23 , RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,6%,37.00,96.61,11.41,21.00,80.54,85.00,60.58
2122,3,61,Waterloo,61019,PRESA-18, 3.64 , RB84-5210 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,24%,38.00,119.44,11.41,21.00,93.49,90.00,62.91
2122,3,61,Waterloo,61021,PRESA-19, 12.41 , RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,49%,36.00,107.32,7.50,16.00,70.02,80.00,72.54
2122,3,61,Waterloo,61023,PRESA-21, 3.64 , RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,20%,38.00,103.06,11.41,21.00,104.03,110.00,61.37
2122,3,61,Waterloo,61024,PRESA-22, 3.24 , RB86-7515 ,2.00, 2.20 , Franco Arcillo Arenoso , Goteo ,36%,38.00,103.07,11.41,21.00,101.99,114.00,57.68
2122,3,61,Waterloo,61048,ZACAT-01, 2.03 , CP72-2086 ,5.00, 1.80 , Franco Arcillo Arenoso , Goteo ,27%,21.00,142.16,11.80,36.00,103.73,112.00,94.59
2122,4,47,El Escondido,47001,EC-01, 34.45 , CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,32%,28.00,112.35,12.75,4.00,103.70,105.00,100.10
2122,4,47,El Escondido,47004,EC-04, 18.00 , CP72-2086 ,4.00, 2.20 , Arcilloso , Goteo ,28%,33.00,132.13,12.50,18.00,122.42,120.00,114.94
