COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,142.940
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,134.340
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,138.370
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,119.560
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,131.870
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,139.770
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,120.720
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,142.300
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,118.450
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,120.670
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,120.930
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,120.560
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,120.950
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,130.560
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,131.200
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.527942143,79,Feb,128.410
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,135.640
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,140.000
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,135.730
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,137.540
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.527942143,79,Feb,132.350
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,123.120
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,117.140
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,128.680
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,124.350
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.16305062,42,Feb,134.030
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.60420776,17,Feb,133.150
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,122.810
54014,Los Jicaros,GTE.-07,MECANIZADA,CP72-2086,No,NO APLICADO,118.3971488,0,0.00,10.91387245,13,Feb,114.530
