CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,125.99
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,53,11.80144642,20,Dic,112.54
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,129.7
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,122.97
54011,Los Jicaros,GTE.06,MECANIZADA,CP722086,Si,TRINEXAPAC ,91.33346154,13.24815659,60,11.60420776,20,Dic,131.79
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,132.82
54011,Los Jicaros,GTE.06,MECANIZADA,CP722086,Si,TRINEXAPAC ,91.33346154,13.24815659,60,11.60420776,20,Dic,127.79
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,122.71
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,133.5
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,131.54
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,139.65
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,123.65
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,128.16
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,127.52
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,124.65
35003,Los Jicaros  La Teca,GEMELOS,MECANIZADA,CP722086,Si,TRINEXAPAC ,128.3826535,11.6059293,60,12.22879684,20,Dic,127.25
61032,Waterloo,PLAT07,MANUAL,CP722086,Si,GLIFOSATO ALEMAN,126.8217391,11.43337104,66,11.86719264,19,Dic,140.13
