VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.43,118.51,11.83,70.66,60.00,50.85
 CP72-2086 ,5.00, 1.90 , Franco Arenoso , Goteo ,0.40,143.54,11.74,106.97,105.00,84.72
 NA56-42 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.44,103.04,11.80,77.93,70.00,62.03
 NA56-42 ,8.00, 2.40 , Franco Arcillo Arenoso , Goteo ,0.44,103.08,11.24,65.09,60.00,68.04
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.35,120.15,10.98,103.55,120.00,107.97
 CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.29,170.57,11.21,133.98,131.00,114.66
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.23,152.16,11.31,91.55,105.00,70.51
 CP00-1101 ,5.00, 2.20 , Franco , Goteo ,0.29,143.07,11.60,155.33,120.00,116.02
 CP88-1165 ,3.00, 2.20 , Franco , Goteo ,0.44,121.31,9.96,108.02,118.00,97.57
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,0.26,150.15,11.44,93.70,103.00,162.38
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,0.25,122.33,11.60,123.80,103.00,105.11
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.29,103.09,10.06,85.54,90.00,91.59
 CP08-2256 ,4.00, 2.20 , Franco , Goteo ,0.29,133.22,11.80,142.62,120.00,124.75
 CP72-2086 ,5.00, 2.20 , Franco , Goteo ,0.55,113.32,11.93,157.23,110.00,116.48
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.38,150.10,10.03,127.17,110.00,114.82
 CP72-2086 ,5.00, 1.90 , Franco , Goteo ,0.26,150.10,10.95,125.98,120.00,113.51
 CP72-2086 ,3.00, 1.60 , Franco , Mini Aspersion ,0.26,126.93,10.59,93.78,110.00,93.92
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.44,122.45,10.59,96.11,110.00,82.05
 CP89-2143 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.41,150.14,10.59,113.32,122.00,90.47
 CP88-1165 ,4.00, 2.20 , Franco Arcilloso , Goteo ,0.44,141.73,10.55,79.09,114.00,71.35
 CP88-1165 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.43,139.05,10.62,112.73,107.00,78.97
 NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.43,150.06,10.62,105.81,110.00,80.83
 NA56-42 ,5.00, 2.20 , Franco Arcilloso , Goteo ,0.34,150.13,10.62,84.58,128.00,100.73
 CP88-1165 ,2.00, 2.20 , Franco , Goteo ,0.28,121.90,13.41,74.19,100.00,89.27
 CP88-1165 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.34,172.66,11.47,107.19,133.00,75.32
 RB86-7515 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.50,170.04,11.47,125.04,140.00,116.01
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.41,172.66,11.47,118.67,132.00,92.43
 NA56-42 ,4.00, 2.20 , Arcilloso , Goteo ,0.30,112.79,10.95,93.83,95.00,64.55
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,0.50,150.14,10.95,72.63,75.00,72.21
 CP72-2086 ,5.00, 1.90 , Franco Arcilloso , Goteo ,0.49,103.07,10.68,75.80,90.00,89.58
 CP72-2086 ,5.00, 2.20 , Arcilloso , Goteo ,0.40,103.09,11.34,86.45,85.00,69.13
 CP72-2086 ,5.00, 1.90 , Franco , Goteo ,0.41,128.81,11.77,94.50,110.00,85.13
 RB86-7515 ,5.00, 2.40 , Franco Arcilloso , Goteo ,0.42,103.04,10.91,62.27,70.00,46.75
 CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,0.47,86.87,11.05,79.88,78.00,65.27
 CP88-1165 ,5.00, 2.40 , Arcilloso , Goteo ,0.22,103.13,11.47,85.53,85.00,71.08
 CP88-1165 ,5.00, 2.40 , Franco Arcilloso , Goteo ,0.47,103.06,11.01,85.50,75.00,68.04
